aftermarket_value_ratio,Current_Price,USD_MSRP,price_per_piece,Pieces,Minifigures,age_years,Theme_Group,Availability
2.2197398699349677,44.3726,19.99,0.07403703703703703,270.0,0,17,Racing,Retail
5.5561729081009,500.0,89.99,0.09026078234704112,997.0,0,17,Racing,Retail
1.924231057764441,76.95,39.99,0.10896457765667575,367.0,4,17,Racing,Retail
4.750791798633105,285.0,59.99,0.10082352941176471,595.0,7,17,Racing,Retail
3.9998333055509248,239.95,59.99,0.08263085399449036,726.0,0,17,Technical,Retail
2.1673891297099033,65.0,29.99,2.9989999999999997,10.0,0,17,Technical,Retail
3.1485247541256873,188.88,59.99,0.08331944444444445,720.0,0,17,Technical,Retail
1.8666018446494057,167.9755,89.99,0.0761336717428088,1182.0,0,17,Technical,Retail
2.273068267066767,90.9,39.99,0.07950298210735587,503.0,0,17,Racing,Retail
2.6026026026026026,26.0,9.99,0.11352272727272728,88.0,2,17,Action/Adventure,Retail
1.8432533133283318,73.7117,39.99,0.11761764705882354,340.0,3,17,Action/Adventure,Retail
3.6115123902655855,325.0,89.99,0.07798093587521664,1154.0,7,17,Action/Adventure,Retail
4.4127145429085814,220.5916,49.99,0.09613461538461539,520.0,4,17,Action/Adventure,Retail
3.735665896843726,48.5263,12.99,0.1910294117647059,68.0,0,17,Constraction,{Not specified}
5.773672055427252,75.0,12.99,0.20951612903225808,62.0,0,17,Constraction,{Not specified}
9.968437259430331,129.49,12.99,0.24509433962264152,53.0,0,17,Constraction,{Not specified}
4.0230254041570435,52.2591,12.99,0.26510204081632655,49.0,0,17,Constraction,{Not specified}
5.172455735180908,67.1902,12.99,0.26510204081632655,49.0,0,17,Constraction,{Not specified}
5.773672055427252,75.0,12.99,0.32475,40.0,0,17,Constraction,{Not specified}
3.464203233256351,45.0,12.99,0.25470588235294117,51.0,0,17,Constraction,{Not specified}
4.618937644341801,60.0,12.99,0.24055555555555555,54.0,0,17,Constraction,{Not specified}
7.496248124062031,149.85,19.99,0.14278571428571427,140.0,0,17,Constraction,{Not specified}
3.57653791130186,25.0,6.99,6.99,1.0,0,17,Technical,LEGO exclusive
4.004004004004004,40.0,9.99,9.99,1.0,0,17,Technical,LEGO exclusive
2.67022696929239,20.0,7.49,7.49,1.0,0,17,Technical,LEGO exclusive
1.667778519012675,25.0,14.99,14.99,1.0,0,17,Technical,LEGO exclusive
1.6859852476290833,16.0,9.49,9.49,1.0,0,17,Technical,{Not specified}
3.34448160535117,10.0,2.99,2.99,1.0,0,17,Technical,LEGO exclusive
2.5990622655663915,103.9365,39.99,0.10253846153846154,390.0,0,17,Constraction,{Not specified}
4.291845493562231,30.0,6.99,0.436875,16.0,0,17,Constraction,{Not specified}
3.57653791130186,25.0,6.99,0.4992857142857143,14.0,0,17,Constraction,{Not specified}
5.007153075822604,35.0,6.99,0.4992857142857143,14.0,0,17,Constraction,{Not specified}
5.3351117039013,160.0,29.99,0.09963455149501661,301.0,0,17,Constraction,{Not specified}
2.2398233215547703,335.9511,149.99,0.07571428571428572,1981.0,8,17,Model making,LEGO exclusive
10.000666711114073,1500.0,149.99,0.06377125850340136,2352.0,4,17,Model making,LEGO exclusive
3.8893210356706303,350.0,89.99,0.08294009216589861,1085.0,0,17,Licensed,LEGO exclusive
5.208767397283107,625.0,119.99,0.07379458794587945,1626.0,0,17,Model making,LEGO exclusive
2.1750293757343933,869.99,399.99,0.10517749145411517,3803.0,24,17,Licensed,LEGO exclusive
1.0925782578257826,109.2469,99.99,0.11172067039106144,895.0,8,17,Miscellaneous,LEGO exclusive
0.7478637863786378,74.7789,99.99,0.10459205020920502,956.0,4,17,Miscellaneous,LEGO exclusive
1.580444349192742,110.6153,69.99,0.07837625979843224,893.0,4,17,Miscellaneous,LEGO exclusive
7.5037518759379696,150.0,19.99,0.2897101449275362,69.0,0,17,Model making,Retail - limited
9.004502251125563,180.0,19.99,0.2897101449275362,69.0,0,17,Model making,Retail - limited
2.7793218454697057,50.0,17.99,0.8566666666666666,21.0,5,17,Miscellaneous,LEGO exclusive
10.004001600640256,250.0,24.99,0.11956937799043062,209.0,3,16,Licensed,Retail
6.25156289072268,250.0,39.99,0.09409411764705883,425.0,3,16,Licensed,Retail
2.3807615230460923,11.88,4.99,0.04228813559322034,118.0,0,16,Miscellaneous,Retail
1.001001001001001,10.0,9.99,0.0925,108.0,0,16,Miscellaneous,Retail
1.2595063375583722,18.88,14.99,0.10631205673758866,141.0,0,16,Miscellaneous,Retail
2.0008003201280515,50.0,24.99,0.11843601895734597,211.0,12,16,Miscellaneous,Retail
1.2964321440480162,38.88,29.99,0.13820276497695852,217.0,13,16,Miscellaneous,Retail
1.1431837667905116,40.0,34.99,0.1035207100591716,338.0,2,16,Miscellaneous,Retail
2.834278092697566,85.0,29.99,1.363181818181818,22.0,1,16,Pre-school,Retail
3.0925208681135223,18.5242,5.99,0.14261904761904762,42.0,2,16,Action/Adventure,Retail
5.005005005005005,50.0,9.99,0.124875,80.0,2,16,Action/Adventure,Retail
2.323161580790395,46.44,19.99,0.09751219512195121,205.0,2,16,Action/Adventure,Retail
2.66755585195065,80.0,29.99,0.10634751773049644,282.0,2,16,Action/Adventure,Retail
2.8405681136227243,142.0,49.99,0.10962719298245614,456.0,3,16,Action/Adventure,Retail
1.67992299229923,167.9755,99.99,0.12119999999999999,825.0,7,16,Action/Adventure,Retail
3.3758439609902475,135.0,39.99,0.12118181818181818,330.0,3,16,Action/Adventure,Retail
1.960392078415683,98.0,49.99,0.1285089974293059,389.0,4,16,Action/Adventure,Retail
1.001001001001001,10.0,9.99,0.08538461538461539,117.0,1,16,Basic,Retail
2.0010010010010006,19.99,9.99,0.0666,150.0,1,16,Basic,Retail
1.7017017017017018,17.0,9.99,0.07291970802919708,137.0,1,16,Basic,Retail
5.0050083472454086,29.98,5.99,0.13311111111111112,45.0,2,16,Historical,Retail
4.004004004004004,40.0,9.99,0.1280769230769231,78.0,2,16,Historical,Retail
6.253126563281642,125.0,19.99,0.14077464788732394,142.0,3,16,Historical,Retail
5.601120224044808,280.0,49.99,0.13621253405994552,367.0,6,16,Historical,Retail
3.3090299029902988,330.8699,99.99,0.16890202702702703,592.0,8,16,Historical,Retail
4.7011752938234554,188.0,39.99,0.129,310.0,6,16,Historical,Retail
1.7448747913188647,10.4518,5.99,0.09359375,64.0,0,16,Model making,Retail
2.000166694449075,119.99,59.99,0.07780804150453956,771.0,0,16,Model making,Retail
1.6592021335703968,149.3116,89.99,0.06954404945904173,1294.0,0,16,Model making,Retail
2.58376396066011,155.0,59.99,0.061465163934426234,976.0,0,16,Model making,Retail
3.6266833416708355,72.4974,19.99,0.19407766990291261,103.0,4,16,Historical,{Not specified}
6.301575393848462,252.0,39.99,0.11937313432835822,335.0,7,16,Historical,{Not specified}
2.9922012201220123,299.1902,99.99,0.11847156398104265,844.0,10,16,Historical,{Not specified}
9.554140127388536,105.0,10.99,0.13911392405063291,79.0,4,16,Licensed,Retail
7.001000500250125,139.95,19.99,0.10689839572192512,187.0,5,16,Licensed,Retail
